name|productUrl|imageUrl|description|price|currency|TDProductId|TDCategoryID|TDCategoryName|merchantCategoryName|sku|shortDescription|promoText|previousPrice|warranty|availability|inStock|shippingCost|deliveryTime|weight|size|brand|model|ean|upc|isbn|condition|mpn|techSpecs|manufacturer|programName|programLogoPath|programId|advertiserProductUrl|fields
"DONNA KARAN COLLECTION - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(969739333)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44392626%26tp%3D31059)"|"http://cdn.yoox.biz/44/44392626_2.JPG"|"Jersey Metallic inserts Leather sole Covered heel Jersey Sandals  Soft leather, Textile fibres"|"85.00"|"GBP"|"969739333"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44392626"|"DONNA KARAN COLLECTION - FOOTWEAR - High-heeled sandals"|""|"349.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"4,5,5.5"|"DONNA KARAN COLLECTION"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44392626&tp=31059"|"color:Ivory;largeimage:http://cdn.yoox.biz/44/44392626UD_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44392626UD_12_F.JPG;sex:WOMEN"
"CUPL? - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(989643363)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44405991%26tp%3D31059)"|"http://cdn.yoox.biz/44/44405991_2.JPG"|"Sueded Solid colour Side buckle closure Open toe Logo pendant detail Sole in eco-leather Square heel Small sized No No platform Sandals  Soft leather"|"35.00"|"GBP"|"989643363"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44405991"|"CUPL? - FOOTWEAR - High-heeled sandals"|""|"86.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"4,5"|"CUPL?"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44405991&tp=31059"|"color:Red;largeimage:http://cdn.yoox.biz/44/44405991TS_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44405991TS_12_F.JPG;sex:WOMEN"
"OBELINE - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1034671581)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44415324%26tp%3D31059)"|"http://cdn.yoox.biz/44/44415324_2.JPG"|"Solid colour Round toeline Rear zip closure No appliqu&#233;s Leather sole Stiletto heel No No Sandals  Soft leather, Textile fibres"|"42.00"|"GBP"|"1034671581"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44415324"|"OBELINE - FOOTWEAR - High-heeled sandals"|""|"120.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,6,7"|"OBELINE"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44415324&tp=31059"|"color:Dark brown - Black;largeimage:http://cdn.yoox.biz/44/44415324LC_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44415324LC_12_F.JPG;sex:WOMEN"
"GRENDHA - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1166553643)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44323635%26tp%3D31059)"|"http://cdn.yoox.biz/44/44323635_2.JPG"|"Buckling ankle strap closure Rhinestone detailing Rubber sole Sandals  Rubber"|"13.00"|"GBP"|"1166553643"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44323635"|"GRENDHA - FOOTWEAR - High-heeled sandals"|""|"19.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,4.5,5,6,6.5,7"|"GRENDHA"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44323635&tp=31059"|"color:Gold - Mauve - Transparent;largeimage:http://cdn.yoox.biz/44/44323635BW_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44323635BW_12_F.JPG;sex:WOMEN"
"CAFE'NOIR - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1166555273)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44453683%26tp%3D31059)"|"http://cdn.yoox.biz/44/44453683_2.JPG"|"Solid colour Round toeline Bow detailing Rubber sole Wooden heel No No platform not made of fur Sandals  Faux leather"|"25.00"|"GBP"|"1166555273"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44453683"|"CAFE'NOIR - FOOTWEAR - High-heeled sandals"|""|"69.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,4,5,6,7"|"CAFE'NOIR"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44453683&tp=31059"|"color:Beige - White - Black;largeimage:http://cdn.yoox.biz/44/44453683EP_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44453683EP_12_F.JPG;sex:WOMEN"
"CAFE'NOIR - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1166555317)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44453776%26tp%3D31059)"|"http://cdn.yoox.biz/44/44453776_2.JPG"|"Textured leather Solid colour Side buckle closure Round toeline No appliqu&#233;s Rubber sole Wooden heel Textured leather No No Non contiene Pelliccia Sandals  Soft leather"|"25.00"|"GBP"|"1166555317"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44453776"|"CAFE'NOIR - FOOTWEAR - High-heeled sandals"|""|"85.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,4,5,6,7"|"CAFE'NOIR"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44453776&tp=31059"|"color:Grey;largeimage:http://cdn.yoox.biz/44/44453776KG_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44453776KG_12_F.JPG;sex:WOMEN"
"CAFE'NOIR - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1166555483)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44454669%26tp%3D31059)"|"http://cdn.yoox.biz/44/44454669_2.JPG"|"Sueded Solid colour Buckling ankle strap closure Round toeline Contrasting trim Contrasting applications Rubber sole Covered cigarette heel No No platform not made of fur Sandals  Soft leather, Textile fibres"|"25.00"|"GBP"|"1166555483"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44454669"|"CAFE'NOIR - FOOTWEAR - High-heeled sandals"|""|"85.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,4,5"|"CAFE'NOIR"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44454669&tp=31059"|"color:Grey;largeimage:http://cdn.yoox.biz/44/44454669QB_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44454669QB_12_F.JPG;sex:WOMEN"
"FABIO RUSCONI - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1166555863)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44457063%26tp%3D31059)"|"http://cdn.yoox.biz/44/44457063_2.JPG"|"Solid colour Side buckle closure Round toeline No appliqu&#233;s Leather sole Covered cone heel No No platform not made of fur Sandals  Soft leather"|"59.00"|"GBP"|"1166555863"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44457063"|"FABIO RUSCONI - FOOTWEAR - High-heeled sandals"|""|"115.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,4,4.5,5,6,7"|"FABIO RUSCONI"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44457063&tp=31059"|"color:Beige - Light green - Fuchsia;largeimage:http://cdn.yoox.biz/44/44457063HE_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44457063HE_12_F.JPG;sex:WOMEN"
"DANIELE ANCARANI - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1166555873)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44457106%26tp%3D31059)"|"http://cdn.yoox.biz/44/44457106_2.JPG"|"Sueded Solid colour Elasticised straps Round toeline No appliqu&#233;s Leather sole Kitten heel No No platform not made of fur Sandals  Soft leather"|"35.00"|"GBP"|"1166555873"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44457106"|"DANIELE ANCARANI - FOOTWEAR - High-heeled sandals"|""|"96.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"2,3,4,4.5,5,5.5,6.5,7.5"|"DANIELE ANCARANI"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44457106&tp=31059"|"color:Camel - Slate blue - Grey - Black;largeimage:http://cdn.yoox.biz/44/44457106SF_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44457106SF_12_F.JPG;sex:WOMEN"
"LOLA CRUZ - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1166556149)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44458155%26tp%3D31059)"|"http://cdn.yoox.biz/44/44458155_2.JPG"|"Solid colour Buckling ankle strap closure Round toeline Metal Applications Leather sole Wooden heel No No platform Non contiene Pelliccia Sandals  Soft leather"|"22.00"|"GBP"|"1166556149"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44458155"|"LOLA CRUZ - FOOTWEAR - High-heeled sandals"|""|"86.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,4,5,6,7"|"LOLA CRUZ"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44458155&tp=31059"|"color:Skin colour - Beige - Cocoa;largeimage:http://cdn.yoox.biz/44/44458155WI_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44458155WI_12_F.JPG;sex:WOMEN"
